AppRating,AppReviews,AppSize,NumberOfInstallations,CurrentAndroidVersion,,,,,,,,
4.20,1015.00,11.00,100000.00,4.10,,,,,,,,
4.70,353.00,4.20,10000.00,4.10,,,,,,,,
3.80,564.00,9.20,100000.00,4.10,,,,,,,,
4.70,8145.00,24.00,500000.00,4.40,,,,,,,,
4.70,158.00,11.00,10000.00,4.00,,,,,,,,
4.00,591.00,9.40,500000.00,4.00,,,,,,,,
4.20,117.00,15.00,10000.00,4.00,,,,,,,,
4.50,176.00,10.00,100000.00,4.00,,,,,,,,
3.80,2206.00,1.20,100000.00,4.10,,,,,,,,
4.20,26.00,12.00,10000.00,4.10,,,,,,,,
4.70,174531.00,24.00,10000000.00,4.10,,,,,,,,
4.60,1070.00,26.00,100000.00,4.10,,,,,,,,
4.20,85.00,8.00,100000.00,4.10,,,,,,,,
4.30,845.00,7.90,100000.00,2.30,,,,,,,,
4.20,367.00,25.00,100000.00,4.00,,,,,,,,
4.00,1598.00,56.00,1000000.00,4.10,,,,,,,,
3.80,284.00,57.00,100000.00,4.10,,,,,,,,
3.90,129.00,35.00,100000.00,4.10,,,,,,,,
4.30,542.00,33.00,100000.00,4.10,,,,,,,,
4.90,10479.00,33.00,100000.00,4.00,,,,,,,,
4.40,805.00,5.60,50000.00,4.40,,,,,,,,
4.20,129.00,54.00,100000.00,4.10,,,,,,,,
4.00,1403.00,0.20,100000.00,2.20,,,,,,,,
3.90,3971.00,3.60,100000.00,4.40,,,,,,,,
4.60,534.00,5.70,10000.00,4.00,,,,,,,,
4.90,7774.00,17.00,100000.00,4.20,,,,,,,,
4.30,38846.00,8.60,1000000.00,4.10,,,,,,,,
4.60,2431.00,2.40,100000.00,4.00,,,,,,,,
4.90,6090.00,27.00,100000.00,4.20,,,,,,,,
3.90,295.00,2.70,10000.00,4.40,,,,,,,,
4.00,190.00,2.50,50000.00,2.30,,,,,,,,
4.20,52530.00,7.00,5000000.00,4.00,,,,,,,,
4.80,116986.00,35.00,5000000.00,4.00,,,,,,,,
3.60,1379.00,16.00,500000.00,4.20,,,,,,,,
4.20,271920.00,16.00,10000000.00,5.00,,,,,,,,
4.80,7021.00,17.00,500000.00,4.00,,,,,,,,
4.60,197.00,3.40,50000.00,4.00,,,,,,,,
4.50,737.00,8.90,100000.00,4.10,,,,,,,,
4.30,3574.00,3.90,1000000.00,4.00,,,,,,,,
4.50,994.00,2.90,100000.00,4.10,,,,,,,,
4.90,197136.00,38.00,1000000.00,4.10,,,,,,,,
3.90,142.00,32.00,50000.00,6.00,,,,,,,,
4.40,15168.00,37.00,1000000.00,4.20,,,,,,,,
4.00,2155.00,15.00,500000.00,5.00,,,,,,,,
4.30,138.00,5.40,100000.00,4.00,,,,,,,,
3.70,5414.00,18.00,1000000.00,4.40,,,,,,,,
4.30,348.00,38.00,100000.00,2.30,,,,,,,,
3.20,250.00,1.10,100000.00,4.00,,,,,,,,
4.50,3617.00,7.90,100000.00,4.10,,,,,,,,
3.70,4806.00,35.00,1000000.00,4.00,,,,,,,,
4.60,31433.00,17.00,1000000.00,4.00,,,,,,,,
4.60,5097.00,19.00,1000000.00,4.00,,,,,,,,
4.00,1754.00,14.00,500000.00,4.00,,,,,,,,
4.40,2680.00,2.20,500000.00,4.00,,,,,,,,
4.00,1288.00,4.50,100000.00,4.00,,,,,,,,
4.70,18900.00,17.00,500000.00,5.00,,,,,,,,
4.90,49790.00,14.00,1000000.00,4.10,,,,,,,,
4.70,1150.00,9.80,100000.00,4.10,,,,,,,,
3.90,1739.00,21.00,500000.00,4.00,,,,,,,,
4.20,2225.00,52.00,500000.00,4.10,,,,,,,,
4.60,4369.00,14.00,100000.00,4.00,,,,,,,,
4.30,8572.00,25.00,1000000.00,4.00,,,,,,,,
4.70,964.00,9.00,50000.00,4.20,,,,,,,,
4.80,104.00,12.00,10000.00,4.00,,,,,,,,
4.30,601.00,35.00,100000.00,4.00,,,,,,,,
4.50,36.00,6.70,10000.00,4.00,,,,,,,,
4.10,187.00,30.00,50000.00,4.00,,,,,,,,
4.20,30.00,2.90,10000.00,4.00,,,,,,,,
4.50,134.00,17.00,10000.00,4.00,,,,,,,,
4.40,74.00,2.90,10000.00,4.00,,,,,,,,
4.10,9315.00,2.60,1000000.00,4.00,,,,,,,,
4.40,75.00,4.20,50000.00,4.00,,,,,,,,
4.60,38.00,7.10,10000.00,4.00,,,,,,,,
4.50,26834.00,57.00,1000000.00,5.00,,,,,,,,
3.90,2277.00,22.00,500000.00,4.00,,,,,,,,
4.40,2280.00,24.00,500000.00,4.00,,,,,,,,
4.60,184.00,21.00,10000.00,4.10,,,,,,,,
3.80,9.00,3.40,5000.00,4.00,,,,,,,,
4.00,364.00,6.40,100000.00,4.00,,,,,,,,
4.30,18.00,3.20,5000.00,4.00,,,,,,,,
4.50,473.00,8.20,100000.00,1.60,,,,,,,,
4.10,66.00,2.90,10000.00,4.00,,,,,,,,
3.70,3871.00,23.00,1000000.00,4.00,,,,,,,,
4.70,257.00,4.60,50000.00,4.00,,,,,,,,
4.20,62.00,3.10,10000.00,4.00,,,,,,,,
4.50,1857.00,4.90,50000.00,4.40,,,,,,,,
4.60,4478.00,9.50,100000.00,4.00,,,,,,,,
4.50,418.00,4.20,100000.00,4.10,,,,,,,,
4.40,22486.00,5.40,1000000.00,4.00,,,,,,,,
4.60,1435.00,2.80,500000.00,4.00,,,,,,,,
4.80,116507.00,5.00,1000000.00,4.00,,,,,,,,
4.60,90468.00,5.90,5000000.00,2.30,,,,,,,,
4.20,860.00,13.00,100000.00,4.00,,,,,,,,
4.10,363934.00,7.10,10000000.00,4.10,,,,,,,,
4.70,967.00,6.70,500000.00,4.00,,,,,,,,
4.30,17506.00,17.00,1000000.00,4.10,,,,,,,,
3.30,1862.00,19.00,1000000.00,4.10,,,,,,,,
4.60,2084.00,6.70,500000.00,2.30,,,,,,,,
4.80,47303.00,21.00,1000000.00,4.10,,,,,,,,
4.10,85842.00,37.00,5000000.00,4.00,,,,,,,,
4.60,7831.00,15.00,100000.00,4.00,,,,,,,,
4.10,91615.00,23.00,5000000.00,4.10,,,,,,,,
4.60,4620.00,19.00,500000.00,4.00,,,,,,,,
4.70,21336.00,23.00,1000000.00,3.00,,,,,,,,
4.50,26875.00,73.00,500000.00,4.00,,,,,,,,
3.90,1778.00,4.90,500000.00,2.10,,,,,,,,
4.40,2709.00,6.80,1000000.00,4.40,,,,,,,,
4.50,527.00,2.90,100000.00,4.00,,,,,,,,
4.40,1322.00,3.50,100000.00,4.00,,,,,,,,
3.40,1680.00,4.00,100000.00,4.00,,,,,,,,
4.90,2739.00,21.00,50000.00,3.00,,,,,,,,
4.60,1065.00,2.30,500000.00,3.00,,,,,,,,
4.40,8788.00,10.00,1000000.00,4.00,,,,,,,,
4.40,51269.00,6.10,1000000.00,4.20,,,,,,,,
4.40,30105.00,2.10,1000000.00,4.00,,,,,,,,
3.50,156.00,42.00,500000.00,2.20,,,,,,,,
4.40,341157.00,30.00,10000000.00,4.20,,,,,,,,
4.30,85185.00,29.00,5000000.00,5.00,,,,,,,,
3.90,16589.00,9.10,1000000.00,4.00,,,,,,,,
4.80,148945.00,25.00,1000000.00,5.00,,,,,,,,
4.50,4458.00,3.90,500000.00,4.10,,,,,,,,
4.40,62272.00,18.00,10000000.00,4.10,,,,,,,,
4.00,8941.00,12.00,5000000.00,4.00,,,,,,,,
4.30,46353.00,21.00,1000000.00,1.50,,,,,,,,
4.20,30847.00,55.00,5000000.00,4.10,,,,,,,,
4.60,188841.00,3.20,5000000.00,4.00,,,,,,,,
3.10,4034.00,0.02,100000.00,2.20,,,,,,,,
3.90,45964.00,16.00,1000000.00,4.10,,,,,,,,
4.10,6903.00,14.00,1000000.00,4.10,,,,,,,,
4.40,31614.00,37.00,10000000.00,4.00,,,,,,,,
4.50,207372.00,11.00,5000000.00,4.00,,,,,,,,
4.40,1225.00,25.00,100000.00,4.10,,,,,,,,
4.40,380837.00,7.30,10000000.00,4.20,,,,,,,,
4.30,10600.00,6.50,1000000.00,4.00,,,,,,,,
4.40,74359.00,25.00,1000000.00,4.00,,,,,,,,
4.60,822.00,3.10,100000.00,4.00,,,,,,,,
4.40,2287.00,1.50,1000000.00,2.20,,,,,,,,
4.70,4162.00,7.50,100000.00,4.00,,,,,,,,
4.70,286897.00,39.00,10000000.00,3.00,,,,,,,,
4.50,103755.00,14.00,10000000.00,4.10,,,,,,,,
4.20,46505.00,19.00,1000000.00,4.10,,,,,,,,
4.70,11442.00,6.80,100000.00,4.00,,,,,,,,
4.80,10295.00,39.00,100000.00,3.00,,,,,,,,
4.20,296.00,14.00,50000.00,4.10,,,,,,,,
4.30,29313.00,20.00,5000000.00,4.00,,,,,,,,
4.10,1802.00,26.00,100000.00,4.20,,,,,,,,
3.80,1383.00,51.00,100000.00,5.00,,,,,,,,
4.30,23175.00,41.00,1000000.00,4.10,,,,,,,,
3.80,5868.00,20.00,500000.00,4.10,,,,,,,,
4.10,5448.00,12.00,500000.00,5.00,,,,,,,,
4.60,4159.00,48.00,500000.00,4.00,,,,,,,,
4.30,20815.00,10.00,1000000.00,5.00,,,,,,,,
4.50,78662.00,22.00,1000000.00,4.40,,,,,,,,
4.10,7149.00,11.00,1000000.00,4.00,,,,,,,,
4.50,3079.00,8.50,100000.00,4.10,,,,,,,,
4.60,5800.00,8.60,100000.00,4.10,,,,,,,,
4.20,16422.00,28.00,1000000.00,4.10,,,,,,,,
4.40,108741.00,28.00,10000000.00,4.30,,,,,,,,
4.40,31614.00,37.00,10000000.00,4.00,,,,,,,,
4.00,624.00,9.00,100000.00,5.00,,,,,,,,
4.20,1661.00,46.00,100000.00,4.40,,,,,,,,
4.10,308.00,14.00,50000.00,4.00,,,,,,,,
3.80,5211.00,26.00,1000000.00,4.00,,,,,,,,
3.90,1058.00,23.00,500000.00,5.00,,,,,,,,
4.20,296.00,14.00,50000.00,4.10,,,,,,,,
4.30,29313.00,20.00,5000000.00,4.00,,,,,,,,
4.10,1802.00,26.00,100000.00,4.20,,,,,,,,
3.80,1383.00,51.00,100000.00,5.00,,,,,,,,
4.30,23175.00,41.00,1000000.00,4.10,,,,,,,,
3.80,5868.00,20.00,500000.00,4.10,,,,,,,,
4.10,5448.00,12.00,500000.00,5.00,,,,,,,,
4.60,4159.00,48.00,500000.00,4.00,,,,,,,,
4.30,20815.00,10.00,1000000.00,5.00,,,,,,,,
4.50,78662.00,22.00,1000000.00,4.40,,,,,,,,
4.10,7149.00,11.00,1000000.00,4.00,,,,,,,,
4.50,3079.00,8.50,100000.00,4.10,,,,,,,,
4.60,5800.00,8.60,100000.00,4.10,,,,,,,,
4.20,16422.00,28.00,1000000.00,4.10,,,,,,,,
4.70,286897.00,39.00,10000000.00,3.00,,,,,,,,
4.50,103755.00,14.00,10000000.00,4.10,,,,,,,,
4.20,46505.00,19.00,1000000.00,4.10,,,,,,,,
4.70,11442.00,6.80,100000.00,4.00,,,,,,,,
4.80,10295.00,39.00,100000.00,3.00,,,,,,,,
4.50,413.00,29.00,10000.00,5.00,,,,,,,,
4.30,23175.00,41.00,1000000.00,4.10,,,,,,,,
4.60,24005.00,4.90,500000.00,4.10,,,,,,,,
4.70,57106.00,27.00,1000000.00,4.10,,,,,,,,
4.70,2249.00,32.00,500000.00,4.00,,,,,,,,
4.80,516.00,12.00,50000.00,4.40,,,,,,,,
3.90,834.00,15.00,50000.00,4.10,,,,,,,,
4.10,1010.00,11.00,50000.00,4.10,,,,,,,,
4.40,238970.00,28.00,1000000.00,5.00,,,,,,,,
4.60,302.00,2.20,10000.00,4.00,,,,,,,,
4.50,438.00,3.40,10000.00,2.30,,,,,,,,
4.70,73.00,8.30,10000.00,4.00,,,,,,,,
4.40,39.00,4.30,10000.00,4.20,,,,,,,,
4.50,144.00,4.70,10000.00,4.00,,,,,,,,
3.90,2181.00,10.00,100000.00,4.00,,,,,,,,
3.20,93965.00,15.00,5000000.00,4.00,,,,,,,,
3.20,1446.00,7.10,100000.00,4.00,,,,,,,,
4.10,12088.00,21.00,1000000.00,4.00,,,,,,,,
4.50,314.00,6.10,100000.00,4.10,,,,,,,,
4.20,15194.00,15.00,1000000.00,4.20,,,,,,,,
3.70,22551.00,11.00,1000000.00,4.40,,,,,,,,
4.50,29839.00,29.00,1000000.00,4.40,,,,,,,,
4.60,279.00,3.30,100000.00,4.00,,,,,,,,
4.70,1677.00,40.00,100000.00,4.10,,,,,,,,
4.40,757.00,10.00,10000.00,4.10,,,,,,,,
3.30,125.00,4.70,5000.00,4.00,,,,,,,,
4.50,9952.00,38.00,500000.00,4.10,,,,,,,,
4.20,21.00,6.70,5000.00,4.00,,,,,,,,
5.00,15.00,37.00,1000.00,4.00,,,,,,,,
4.70,3596.00,7.80,10000.00,4.00,,,,,,,,
4.40,1006.00,19.00,50000.00,4.00,,,,,,,,
4.40,5968.00,5.70,1000000.00,4.00,,,,,,,,
4.60,4895.00,35.00,100000.00,4.40,,,,,,,,
4.30,125257.00,17.00,10000000.00,4.10,,,,,,,,
4.30,158679.00,8.80,5000000.00,4.40,,,,,,,,
4.30,30209.00,15.00,5000000.00,4.10,,,,,,,,
4.00,36901.00,6.60,5000000.00,4.00,,,,,,,,
4.30,192948.00,6.60,10000000.00,4.00,,,,,,,,
3.90,13698.00,5.10,10000000.00,4.10,,,,,,,,
3.60,20769.00,18.00,1000000.00,4.10,,,,,,,,
4.40,36880.00,4.00,1000000.00,5.00,,,,,,,,
4.40,615381.00,37.00,10000000.00,4.00,,,,,,,,
4.20,33053.00,22.00,5000000.00,4.00,,,,,,,,
4.40,136662.00,32.00,10000000.00,4.00,,,,,,,,
3.90,42370.00,37.00,1000000.00,5.00,,,,,,,,
4.40,2939.00,17.00,100000.00,4.10,,,,,,,,
3.90,40751.00,35.00,10000000.00,4.00,,,,,,,,
3.70,25021.00,61.00,5000000.00,4.30,,,,,,,,
4.30,27187.00,66.00,5000000.00,4.40,,,,,,,,
4.00,122498.00,0.08,10000000.00,4.00,,,,,,,,
4.10,132014.00,25.00,10000000.00,4.20,,,,,,,,
4.20,83239.00,14.00,5000000.00,4.00,,,,,,,,
4.10,28238.00,17.00,1000000.00,2.30,,,,,,,,
4.30,335646.00,8.30,10000000.00,2.30,,,,,,,,
4.50,349384.00,8.20,10000000.00,4.00,,,,,,,,
4.30,37320.00,8.40,1000000.00,4.00,,,,,,,,
4.40,36893.00,4.00,1000000.00,5.00,,,,,,,,
4.20,15880.00,32.00,1000000.00,4.00,,,,,,,,
4.20,42925.00,2.80,1000000.00,2.30,,,,,,,,
4.10,13100.00,2.20,1000000.00,4.00,,,,,,,,
4.10,55098.00,4.30,1000000.00,4.00,,,,,,,,
4.30,1133501.00,4.70,10000000.00,4.00,,,,,,,,
4.10,12578.00,2.30,500000.00,4.00,,,,,,,,
4.20,10965.00,2.30,500000.00,3.00,,,,,,,,
4.20,190613.00,11.00,10000000.00,4.00,,,,,,,,
4.20,125232.00,2.70,10000000.00,2.10,,,,,,,,
4.20,83239.00,14.00,5000000.00,4.00,,,,,,,,
4.30,72065.00,13.00,1000000.00,4.00,,,,,,,,
4.40,27540.00,3.70,1000000.00,4.00,,,,,,,,
4.20,104990.00,10.00,5000000.00,4.00,,,,,,,,
4.40,177703.00,13.00,10000000.00,5.00,,,,,,,,
4.10,17529.00,10.00,1000000.00,4.00,,,,,,,,
4.20,177263.00,13.00,10000000.00,5.00,,,,,,,,
4.80,237468.00,8.80,1000000.00,4.00,,,,,,,,
4.40,32254.00,5.50,1000000.00,2.10,,,,,,,,
4.40,483565.00,20.00,10000000.00,4.10,,,,,,,,
4.40,552441.00,29.00,10000000.00,4.10,,,,,,,,
4.40,93825.00,11.00,5000000.00,4.10,,,,,,,,
4.20,15287.00,17.00,1000000.00,4.00,,,,,,,,
4.50,205739.00,17.00,5000000.00,4.10,,,,,,,,
4.00,9498.00,0.12,1000000.00,2.30,,,,,,,,
4.20,88427.00,5.10,5000000.00,4.00,,,,,,,,
4.60,183374.00,44.00,1000000.00,4.10,,,,,,,,
4.10,20901.00,7.30,1000000.00,4.10,,,,,,,,
4.00,122595.00,30.00,1000000.00,5.00,,,,,,,,
4.20,124346.00,0.70,10000000.00,2.00,,,,,,,,
4.10,255.00,1.60,10000.00,2.20,,,,,,,,
4.30,41420.00,19.00,5000000.00,4.00,,,,,,,,
4.10,29208.00,23.00,1000000.00,2.30,,,,,,,,
4.60,191032.00,26.00,5000000.00,4.00,,,,,,,,
2.60,57.00,6.20,1000.00,4.00,,,,,,,,
3.50,2.00,17.00,100.00,4.00,,,,,,,,
4.10,285726.00,15.00,10000000.00,4.10,,,,,,,,
4.10,2556.00,56.00,100000.00,4.10,,,,,,,,
4.20,7779.00,12.00,500000.00,5.00,,,,,,,,
4.50,61637.00,11.00,5000000.00,4.10,,,,,,,,
4.40,12632.00,29.00,1000000.00,4.10,,,,,,,,
4.00,48845.00,40.00,1000000.00,4.40,,,,,,,,
3.10,31320.00,53.00,5000000.00,4.10,,,,,,,,
4.40,172460.00,3.10,5000000.00,4.00,,,,,,,,
4.20,4195.00,24.00,100000.00,4.40,,,,,,,,
4.10,11633.00,23.00,500000.00,4.10,,,,,,,,
3.90,10212.00,5.00,1000000.00,4.40,,,,,,,,
4.30,37053.00,44.00,1000000.00,4.10,,,,,,,,
4.40,667.00,27.00,10000.00,4.10,,,,,,,,
3.50,13202.00,6.10,1000000.00,4.10,,,,,,,,
3.30,1157.00,21.00,100000.00,4.20,,,,,,,,
4.50,212626.00,11.00,10000000.00,4.10,,,,,,,,
4.40,222888.00,21.00,1000000.00,4.10,,,,,,,,
4.10,2067.00,24.00,100000.00,4.40,,,,,,,,
3.90,1643.00,31.00,500000.00,4.10,,,,,,,,
3.90,105.00,27.00,5000.00,4.40,,,,,,,,
3.60,3414.00,6.20,500000.00,4.10,,,,,,,,
3.60,11806.00,12.00,1000000.00,4.00,,,,,,,,
3.40,1999.00,8.00,100000.00,4.20,,,,,,,,
4.20,22544.00,5.90,1000000.00,4.00,,,,,,,,
4.10,97684.00,7.90,1000000.00,4.00,,,,,,,,
3.40,2519.00,5.00,100000.00,4.40,,,,,,,,
3.00,1146.00,1.40,100000.00,4.00,,,,,,,,
4.60,13046.00,13.00,500000.00,4.10,,,,,,,,
4.10,17268.00,40.00,500000.00,4.00,,,,,,,,
3.90,8722.00,13.00,500000.00,4.10,,,,,,,,
1.90,953.00,19.00,100000.00,5.00,,,,,,,,
3.50,2593.00,5.00,500000.00,4.40,,,,,,,,
2.50,5377.00,19.00,500000.00,4.00,,,,,,,,
3.90,852.00,27.00,100000.00,4.10,,,,,,,,
3.40,212.00,3.00,50000.00,5.00,,,,,,,,
3.50,1972.00,13.00,1000000.00,4.10,,,,,,,,
4.40,35206.00,7.20,1000000.00,4.00,,,,,,,,
3.80,5164.00,25.00,100000.00,4.00,,,,,,,,
2.50,277.00,5.70,100000.00,4.10,,,,,,,,
2.80,80.00,5.50,10000.00,4.00,,,,,,,,
4.20,40035.00,6.50,1000000.00,4.00,,,,,,,,
3.50,1093.00,5.80,100000.00,4.20,,,,,,,,
3.30,1601.00,3.80,500000.00,4.10,,,,,,,,
4.10,2212.00,41.00,100000.00,4.00,,,,,,,,
4.20,57081.00,7.90,1000000.00,4.00,,,,,,,,
3.50,241.00,2.80,50000.00,5.00,,,,,,,,
4.20,63986.00,20.00,5000000.00,4.00,,,,,,,,
4.40,7888.00,15.00,500000.00,4.10,,,,,,,,
4.10,535.00,28.00,100000.00,4.10,,,,,,,,
4.20,5084.00,9.60,100000.00,4.10,,,,,,,,
4.30,2430.00,13.00,500000.00,4.10,,,,,,,,
4.10,285726.00,15.00,10000000.00,4.10,,,,,,,,
4.00,48845.00,40.00,1000000.00,4.40,,,,,,,,
4.10,2556.00,56.00,100000.00,4.10,,,,,,,,
4.20,7779.00,12.00,500000.00,5.00,,,,,,,,
3.00,837.00,9.40,100000.00,4.40,,,,,,,,
4.40,12632.00,29.00,1000000.00,4.10,,,,,,,,
4.50,61637.00,11.00,5000000.00,4.10,,,,,,,,
2.50,5377.00,19.00,500000.00,4.00,,,,,,,,
4.10,11633.00,23.00,500000.00,4.10,,,,,,,,
4.00,738.00,27.00,10000.00,4.10,,,,,,,,
1.90,953.00,19.00,100000.00,5.00,,,,,,,,
3.30,4631.00,45.00,100000.00,5.00,,,,,,,,
4.40,222888.00,21.00,1000000.00,4.10,,,,,,,,
4.10,17268.00,40.00,500000.00,4.00,,,,,,,,
3.80,5164.00,25.00,100000.00,4.00,,,,,,,,
4.10,4953.00,15.00,1000000.00,4.20,,,,,,,,
4.20,4195.00,24.00,100000.00,4.40,,,,,,,,
4.50,212626.00,11.00,10000000.00,4.10,,,,,,,,
3.70,1439.00,38.00,50000.00,4.20,,,,,,,,
3.90,1645.00,31.00,500000.00,4.10,,,,,,,,
3.50,13204.00,6.10,1000000.00,4.10,,,,,,,,
3.90,853.00,27.00,100000.00,4.10,,,,,,,,
4.00,337.00,32.00,10000.00,4.30,,,,,,,,
4.60,13049.00,13.00,500000.00,4.10,,,,,,,,
4.00,51698.00,63.00,1000000.00,4.00,,,,,,,,
4.10,923.00,44.00,100000.00,4.10,,,,,,,,
3.30,149.00,16.00,10000.00,4.00,,,,,,,,
4.40,198.00,28.00,10000.00,4.10,,,,,,,,
4.20,22545.00,5.90,1000000.00,4.00,,,,,,,,
3.90,8723.00,13.00,500000.00,4.10,,,,,,,,
4.30,23170.00,9.00,500000.00,4.10,,,,,,,,
3.40,13890.00,20.00,500000.00,4.20,,,,,,,,
4.20,57083.00,7.90,1000000.00,4.00,,,,,,,,
4.10,537.00,28.00,100000.00,4.10,,,,,,,,
4.00,13440.00,49.00,500000.00,4.00,,,,,,,,
3.60,143.00,27.00,10000.00,4.10,,,,,,,,
4.20,1059.00,18.00,100000.00,4.20,,,,,,,,
3.50,894.00,14.00,100000.00,4.10,,,,,,,,
4.00,6191.00,27.00,500000.00,4.10,,,,,,,,
4.10,2212.00,41.00,100000.00,4.00,,,,,,,,
4.10,15081.00,38.00,1000000.00,4.10,,,,,,,,
2.80,80.00,5.50,10000.00,4.00,,,,,,,,
4.40,218.00,27.00,10000.00,4.10,,,,,,,,
4.40,35205.00,7.20,1000000.00,4.00,,,,,,,,
4.20,243950.00,21.00,10000000.00,4.10,,,,,,,,
4.10,236.00,8.80,10000.00,4.00,,,,,,,,
4.20,5152.00,38.00,100000.00,4.10,,,,,,,,
4.10,6701.00,11.00,1000000.00,4.00,,,,,,,,
4.20,40039.00,6.50,1000000.00,4.00,,,,,,,,
3.90,742.00,26.00,50000.00,4.00,,,,,,,,
4.00,187.00,19.00,10000.00,4.20,,,,,,,,
4.20,2506.00,6.10,500000.00,4.00,,,,,,,,
4.50,182986.00,77.00,5000000.00,4.10,,,,,,,,
3.90,8661.00,9.50,1000000.00,4.00,,,,,,,,
3.60,8.00,14.00,1000.00,4.40,,,,,,,,
4.40,59.00,38.00,5000.00,4.30,,,,,,,,
3.50,35.00,16.00,1000.00,4.00,,,,,,,,
4.40,28.00,3.40,500.00,4.00,,,,,,,,
4.80,125.00,4.70,5000.00,4.00,,,,,,,,
4.60,185.00,5.00,10000.00,4.00,,,,,,,,
4.70,6.00,4.90,100.00,4.00,,,,,,,,
4.80,110.00,4.90,10000.00,4.00,,,,,,,,
2.70,3.00,3.90,100.00,4.40,,,,,,,,
5.00,5.00,4.40,1000.00,4.00,,,,,,,,
4.80,84.00,4.50,1000.00,4.00,,,,,,,,
5.00,2.00,70.00,100.00,4.40,,,,,,,,
4.80,20.00,4.90,500.00,4.00,,,,,,,,
4.90,776.00,4.90,5000.00,4.00,,,,,,,,
3.00,2.00,16.00,100.00,4.00,,,,,,,,
4.70,14.00,21.00,5000.00,4.10,,,,,,,,
1.00,1.00,9.20,10.00,4.00,,,,,,,,
5.00,5.00,9.30,500.00,4.00,,,,,,,,
4.70,18.00,5.00,500.00,4.00,,,,,,,,
5.00,6.00,5.00,100.00,4.00,,,,,,,,
5.00,5.00,5.00,100.00,4.00,,,,,,,,
3.00,1.00,5.50,500.00,4.00,,,,,,,,
4.10,11.00,11.00,1000.00,4.00,,,,,,,,
5.00,3.00,25.00,100.00,4.10,,,,,,,,
3.70,101.00,15.00,10000.00,4.10,,,,,,,,
4.50,120.00,10.00,500.00,5.00,,,,,,,,
4.20,24.00,4.90,1000.00,4.00,,,,,,,,
4.30,6.00,9.00,100.00,4.00,,,,,,,,
4.10,4954.00,15.00,1000000.00,4.20,,,,,,,,
1.90,954.00,19.00,100000.00,5.00,,,,,,,,
4.10,2560.00,56.00,100000.00,4.10,,,,,,,,
4.40,59.00,38.00,5000.00,4.30,,,,,,,,
3.90,10212.00,5.00,1000000.00,4.40,,,,,,,,
3.90,105.00,27.00,5000.00,4.40,,,,,,,,
4.40,28.00,3.40,500.00,4.00,,,,,,,,
4.70,6.00,4.90,100.00,4.00,,,,,,,,
3.80,5168.00,25.00,100000.00,4.00,,,,,,,,
4.40,12633.00,29.00,1000000.00,4.10,,,,,,,,
4.40,41605.00,8.10,500000.00,4.00,,,,,,,,
3.60,8.00,14.00,1000.00,4.40,,,,,,,,
4.40,218.00,27.00,10000.00,4.10,,,,,,,,
2.70,3.00,3.90,100.00,4.40,,,,,,,,
4.30,2433.00,13.00,500000.00,4.10,,,,,,,,
4.60,185.00,5.00,10000.00,4.00,,,,,,,,
2.80,80.00,5.50,10000.00,4.00,,,,,,,,
3.50,35.00,16.00,1000.00,4.00,,,,,,,,
