AppRating,AppReviews,AppSize,NumberOfInstallations,CurrentAndroidVersion
4.7,295576,3.9,10000000,3
4.6,59907,7.8,5000000,2.3
4.5,10460,18,1000000,4
4.8,230849,87,10000000,4.1
4.7,990723,75,10000000,4.1
4.5,21892,14,1000000,4
4.5,197540,29,10000000,4.1
4.4,74695,17,10000000,4
4.7,1125438,25,10000000,4.3
4.6,29445,29,5000000,4
4.5,655145,72,10000000,4
4.7,990663,75,10000000,4.1
4.5,184210,99,10000000,4.4
4.5,401425,70,10000000,4
4.6,515657,63,10000000,4
4.3,194969,30,10000000,4.1
4.4,327599,66,10000000,2.2
4.3,10538,50,1000000,2.3
4.4,105620,61,1000000,4.1
4.7,37139,49,1000000,4.1
4.2,147791,38,5000000,5
4.1,347883,20,10000000,4
4.5,354373,66,10000000,4.1
4.3,43055,95,5000000,4
4.5,559,32,100000,4
4,26649,66,5000000,4.2
4.5,306764,29,10000000,4
4.6,59907,7.8,5000000,2.3
4.6,280098,50,10000000,4
4.5,148990,46,10000000,4
3.8,6760,26,500000,3.2
4.5,13118,47,500000,4
3.7,413609,22,10000000,4.1
4.6,305765,34,10000000,4.1
4.4,98324,70,1000000,4.1
4.3,27931,17,5000000,5
4.3,47698,4.1,5000000,1.5
4.3,133195,11,5000000,4.1
4.4,17069,94,500000,5
4.2,145088,24,10000000,4.4
4.9,46253,56,500000,4
4.6,111741,66,5000000,4
4.6,515240,63,10000000,4
4.6,49275,91,500000,4.4
3.4,29265,17,1000000,4
4.3,1017408,34,10000000,4
4.4,1185,40,100000,4.1
4.5,14,11,1000,7
4.6,4046,63,100000,4
4.8,1955,14,100000,4.1
4.3,1065,61,100000,4.1
4.8,19047,63,100000,4
4.8,16,8.9,500,4.2
3.7,43,10,5000,4.1
4.1,9019,44,1000000,4
3.7,4444,10,500000,4.1
4.2,6418,59,100000,4.1
4.5,39,7.4,1000,4.1
4.6,28,23,1000,2.2
4.5,712737,50,10000000,4.3
4.7,6187,33,100000,4
4.5,659,3.3,10000,1.5
3.8,3965,6.4,100000,4.1
4.5,4656,20,100000,4
3.7,80,7.6,10000,4.1
3.5,205,62,50000,4.3
4.1,155,32,1000,4.1
3.9,168,49,5000,4.1
4.1,413,0.93,10000,2.1
4.6,1475,34,10000,5
4.4,148826,49,1000000,4
4.6,354,24,10000,4.1
4,1699,72,100000,4.3
4.4,11393,8.7,1000000,4.4
4.4,925,40,10000,2.2
3.4,131,22,5000,4.1
2.9,53,82,10000,7
4.5,20,65,1000,7
3.7,25,43,5000,7
3.8,469,80,10000,4
4.1,25195,21,1000000,4
4.1,9636,0.093,1000000,2.1
3.7,22,90,5000,7
3.6,153,67,10000,4
3,17,32,1000,7
4.1,1152,2.7,100000,7
3.8,20,36,1000,4.1
4.2,29,35,5000,7
4.4,36268,41,1000000,4.2
3.6,740,71,50000,4.4
4.8,13,6,100,4.1
3.9,9,8.8,1000,4.4
3.8,43,22,10000,2.3
4.2,109,30,10000,4.4
4,5300,11,1000000,4.1
4,265,4.1,100000,3
4.4,13,3.4,1000,2.2
4.7,65,13,5000,4.1
4.5,112,39,10000,4
4.3,367,5.1,100000,4.1
3.3,126,4.7,5000,4
4.3,127,5.5,10000,4.1
4.1,134,5.3,10000,4
2.1,149,2.8,50000,3.2
3.7,40,9,1000,4.1
4.3,20,15,1000,4
4.4,7,81,1000,4.1
3.7,20,8.9,1000,4.4
4,1,3,100,4.1
4.4,112,13,1000,4.4
3.3,14,11,1000,4
4.2,4,29,500,4.4
2.3,3,2.6,500,4.2
5,4,1.7,100,2.2
3.6,5,5.4,1000,4.1
3.9,137377,30,5000000,4
4.4,7461,31,1000000,4.1
4.2,120,14,10000,4.1
4.8,17,37,5000,5
4.3,39109,4,1000000,4
4.2,4330,6.1,100000,4
4.2,28390,38,5000000,5
4,78,2.8,5000,2.3
4.2,67,6.5,5000,4
4.3,1580,3.6,100000,2.3
4.3,556929,53,10000000,4
4.4,146,3.9,10000,4.1
4.1,2520,12,100000,4.3
4.5,559597,89,10000000,4.1
4.2,305367,46,10000000,4.4
4.3,128367,54,1000000,4
4.4,103909,9.2,5000000,4.3
4.5,76608,24,1000000,4
4.3,275843,41,10000000,4
4.2,123309,25,10000000,4.4
3.2,320,31,50000,4.2
3.9,9765,14,1000000,2.3
4.2,798,29,50000,4
4.1,783,4.2,100000,4
4.9,13,5.3,100,4
3.7,84,6.3,1000,4.4
3.5,196,27,10000,4.1
4.9,83,3.1,500,5
3.3,78,2.5,10000,6
4.9,659,5,10000,4
3.4,1520,6.3,50000,4.4
4.5,2710,4.8,100000,4.1
5,6,9.2,1000,4.1
3.5,2,34,100,5
4.4,622,2.5,10000,4.4
4.7,8347,2.6,500000,4
3.4,18,45,1000,2.2
3.7,9,23,1000,2.2
3.7,3596,8.4,1000000,4
4.5,3320,8.3,100000,4.1
3.9,174423,7.9,10000000,4
5,6,26,1000,4.4
4.3,17,6,10000,4.4
4.2,178,4.8,1000,4.1
4,255,16,10000,4.2
4.5,309,5.9,10000,4.4
4,91,0.335,10000,2.1
4.4,52,2.2,1000,4
1.8,30,0.887,500,4.3
4.3,12,0.613,1000,5
3.1,421,53,100000,4.1
3.9,262,22,10000,4.1
4.2,69,25,5000,4.4
4.5,64983,39,1000000,4.1
4.1,60,13,1000,2.2
4.2,12,13,1000,4
3.3,555,31,50000,4
4.4,75,3.7,500,4.1
4.4,36,24,10000,4
4.6,20,34,100,4
4.4,19212,6.9,500000,4.1
4.5,14,45,100,4
4.1,46,12,1000,4
2.2,23,33,1000,5
4.2,31,35,5000,4
4,179,14,50000,4
3.9,45,15,5000,4.4
4.9,88,66,1000,5
3.5,163,3.4,1000,4
4.4,10,7.7,500,4.1
4.2,25,6.5,10000,4.2
4.7,54,50,1000,4.2
4.5,10,2.5,100,2
4.4,11514,2.2,500000,4
4.2,2543,4.6,100000,5
4.4,9950,15,500000,4.1
3.3,1045,13,100000,4
4.9,66,8.1,1000,4.1
4.7,1647,16,10000,2.3
3.9,271,9.6,50000,4.4
4.7,19,6.4,1000,4
4.4,2599,6.9,100000,2
4.8,4,5.1,50,5
4.2,52390,20,5000000,2.2
5,11,6.1,10,2.3
4.6,16,3.2,1000,4.4
5,15,1.4,1000,1.6
2.9,21,2.1,5000,2.3
4.4,288835,91,5000000,4.4
3,2,14,100,5
4.5,145,14,10000,4.2
2.4,221,43,10000,4.1
4.3,29330,6.9,1000000,2
3.9,29990,96,1000000,2.3
1.9,76,14,5000,3
4.3,219,4.3,5000,2.3
4,182,1.7,10000,3
3.5,34,30,1000,4
2.3,10,5.2,1000,4.1
3.9,114,18,5000,4
4.1,7,3.4,100,3
4.5,561,41,10000,2.2
4.6,2167,13,100000,4.4
4.4,2420,6.7,50000,4.1
3.1,52,9.8,5000,4
4.3,77717,14,5000000,4.1
3.3,3,26,100,4.4
5,7,22,100,4.1
4.2,12,88,500,4.1
3.8,434,18,50000,4
4.3,2250,30,100000,4.1
3.9,112,1.4,10000,2.2
4.2,226,15,10000,2.2
4.5,214,1.8,10000,4
4.1,11179,19,1000000,2.3
4.1,1514,12,100000,4.1
4.6,470,21,10000,2.3
3.3,60,25,10000,4.3
4.5,11,3.4,1000,4
2.2,876,8.7,1000000,4.2
4.4,137,19,10000,4.1
3.9,117,9.8,10000,4
2.8,1189,18,100000,4
3.3,2802,15,100000,4.3
4.5,56409,43,1000000,4.1
3.1,167,2,1000,4
3.2,398,2.2,50000,2.2
4.4,1740,4.4,50000,4.1
4.1,1372,5.4,50000,4.1
5,2,1.4,5,4.4
3.8,131,3.3,1000,2.2
4.3,87,7.3,10000,5
4.6,3963,23,100000,4.2
4.9,7,2.2,100,3
5,2,3.5,10,4
2.9,30,4.8,5000,4.1
4.4,14,7.3,500,4.1
4.4,15753,13,100000,4.3
4.6,1641,6.2,10000,4
4.5,4228,0.656,500000,4
4.6,28107,5.7,500000,4
4.4,552635,29,10000000,4.1
4.1,217736,87,10000000,4.1
4.7,55952,61,1000000,4.1
4.2,609186,30,10000000,4.1
4.5,617732,44,10000000,4.1
4.8,332623,4.6,10000000,4.1
4.5,371318,90,10000000,4.1
4.7,696665,91,10000000,5
4.4,860078,30,10000000,4.1
4.1,5997,20,1000000,4.1
4.3,796,28,100000,5
4.2,2013,16,100000,4.1
4.2,2925,16,100000,4.1
3.6,21095,7.9,1000000,4
3.8,11250,6.3,100000,4.2
3.4,15,2.7,10000,2.2
4.5,5093,56,500000,4.2
4.3,8450,1.1,100000,2.2
3.1,194,26,100000,4.4
4.6,13492,56,100000,4.1
3.3,272,0.785,100000,2.2
3.9,2362,25,100000,2.3
4.2,139432,4.7,10000000,2.1
4.9,707,6,10000,4.1
3.9,1638,4.9,100000,4.3
3.4,6512,18,1000000,4.4
4.2,68270,66,1000000,4.4
3.8,21381,41,1000000,4.4
4.6,58575,96,1000000,4.1
3.6,1185,3.9,100000,4
4.7,2807,9.8,100000,4
4.2,2318,4.5,100000,2.3
4.5,289,9.8,10000,4.2
4.7,642,3.2,10000,4
4.3,488,2.5,50000,3
4.2,2058,2.3,100000,4
4.7,57,7,1000,4
4.4,457,0.562,50000,2.1
4.1,1238,4.7,100000,2.3
4.5,83,4.5,5000,4.1
4.1,331,10,50000,4
4,146,3,10000,2.3
4.3,10355,0.847,1000000,4
4.2,994,2.8,100000,5
3.2,46,6.6,1000,4.1
3.5,106,24,5000,4
3.8,181,9.8,10000,4.1
3.5,8,32,1000,4.1
4.2,105,72,1000,4.4
4.5,8,8.1,100,4.1
3.4,14,6.2,1000,4
3,9,8.4,100,5
4.4,75,19,1000,4.1
4,26,8.5,1000,4.4
4.3,29,23,1000,2.3
4.1,88,20,5000,4
3.6,30,5.2,5000,4
3.7,13,3.9,1000,2.2
4.2,20807,52,1000000,4.1
5,7,68,100,4
4.6,1420,1.6,100000,5
4.4,49580,4,10000000,4.1
4.2,22650,1.5,1000000,4
4.4,4518,26,1000000,4.1
3.9,46,3,5000,4
3.6,33,71,5000,4
3.4,17,0.246,1000,4
4.3,9716,1.3,1000000,4
4.3,63782,24,5000000,4.1
4.4,201537,68,5000000,4
4.3,11051,44,1000000,4
4.3,38826,7,10000000,4.1
4,176487,10,5000000,4.4
4.5,264282,48,10000000,4
4.2,17,4.7,5000,3
4.4,18,3.4,10000,3
4.5,3704,4.6,100000,2.3
3.1,183,7.1,10000,4.1
4.5,58,2.7,10000,3
4.6,106,4.4,10000,4
4.3,1539,14,50000,4
4.4,20755,17,1000000,4.1
4.3,12,9,1000,4
4.8,24,4.5,5000,4
2.8,9,21,1000,5
4.1,125,15,50000,4.1
1,2,21,1000,5
3,2,8,10,4.1
5,19,11,500,4.1
